id,YEAR,NI,STOPS,NETWORK,LABOREXP,STAFF,ELECEXP,KWH,TOTCOST,NARROW_T,RACK,TUNNEL,T,Q1,Q2,Q3,CT,PL,PE,PK,VIRAGE,LABOR,ELEC,CAPITAL,LNCT,LNQ1,LNQ2,LNQ3,LNNET,LNPL,LNPE,LNPK,LNSTOP,LNCAP,RAILROAD 
1,90,7,10,13107,1061,16,163,1631,2536,0,0,0,5,159000,2401000,179385,3255.456,85125.16,0.128291,3709.715,0,41.83754,6.427445,51.73502,10.14154,11.97666,14.6914,12.09729,2.573147,13.40533,-2.053454,10.27216,2.302585,2.650892,1
1,91,7,10,13107,1148,17,170,1428,2634,0,0,0,6,161000,2578000,196815,3162.065,81067.72,0.1429143,3479.806,0,43.5839,6.454062,49.96203,10.00449,11.98916,14.76252,12.19002,2.573147,13.24855,-1.94551,10.10024,2.302585,2.650892,1
1,92,7,10,7351,1145,17,196,2000,2846,0,0,0,7,158000,2573000,209298,3190.583,75507.78,0.1098655,3716.343,0,40.2319,6.886859,52.88124,10.27646,11.97035,14.76058,12.25151,1.994836,13.44049,-2.208499,10.42899,2.302585,2.650892,1
1,93,7,10,13107,1148,17,190,1305,2763,0,0,0,8,156000,2512000,121183,2964.592,72456.45,0.1562166,3367.775,0,41.54904,6.876584,51.57438,9.851007,11.95761,14.73659,11.70506,2.573147,13.04725,-1.856512,9.978519,2.302585,2.650892,1
1,94,7,10,13107,1138,16,203,1236,2874,0,0,0,9,149000,2431000,124408,2978.239,73704.66,0.1701964,3499.121,0,39.59638,7.063326,53.34029,9.76989,11.9117,14.70381,11.73132,2.573147,12.97862,-1.770802,9.931069,2.302585,2.650892,1
1,95,7,10,13107,1038,15,199,1226,2620,0,0,0,10,145000,2322000,56566,2689.938,71047.23,0.1666494,3127.573,0,39.61832,7.59542,52.78626,9.689137,11.88449,14.65794,10.94316,2.573147,12.96296,-1.791863,9.839876,2.302585,2.650892,1
1,96,7,10,13107,1018,15,160,1163,2899,0,0,0,11,144000,2168000,115340,2922.379,68413.98,0.1386847,3821.32,0,35.11556,5.519145,59.3653,9.955706,11.87757,14.58932,11.65564,2.573147,13.10888,-1.975552,10.2239,2.302585,2.650892,1
2,85,13,15,27024,2240,41,82,861,4006,1,0,0,0,245000,5291000,35196,5961.31,81300.81,0.1417234,2303.265,1,55.91613,2.04693,42.03695,10.64692,12.40901,15.48152,10.46869,3.296725,13.25979,-1.953878,9.695961,2.70805,3.251079,2
2,86,13,15,27024,2424,42,152,1597,4575,1,0,0,1,301000,6379000,37433,6480.17,81748.28,0.1348137,2980.468,1,52.98361,3.322404,43.69399,10.78036,12.61487,15.66852,10.53031,3.296725,13.31526,-2.003862,10.0037,2.70805,3.251079,2
2,87,13,15,27024,2558,46,180,1899,4875,1,0,0,2,336000,7522000,27382,6827.731,77883.33,0.1327545,3150.523,1,52.47179,3.692308,43.8359,10.848,12.72487,15.83334,10.21764,3.296725,13.28222,-2.019253,10.07458,2.70805,3.251079,2
2,88,13,16,27024,2670,45,190,1913,5132,1,0,0,3,341000,7575000,27273,7049.451,81501.84,0.1364292,3285.136,1,52.0265,3.70226,44.27124,10.85266,12.73964,15.84036,10.21365,3.296725,13.30033,-1.99195,10.08911,2.772589,3.251079,2
2,89,13,16,27024,2927,47,188,1883,5450,1,0,0,4,332000,7868000,28009,7295.85,83368.94,0.1336555,3023.053,1,53.70642,3.449541,42.84404,10.90755,12.71289,15.87831,10.24028,3.296725,13.34352,-2.012489,10.02651,2.772589,3.251079,2
2,90,13,16,27024,3331,47,211,2105,5872,1,0,0,5,373000,8438000,17733,7537.869,90978.62,0.1286746,3701.75,1,56.72684,3.593324,39.67984,10.97816,12.82933,15.94826,9.783182,3.296725,13.46885,-2.050468,10.26703,2.772589,3.251079,2
